sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,sample_messages,risk_score,risk_level
86912,1.2696890941745536,1,LOW,0.06666666666666667,0,0,0,1,32,Creating a new SqlSession | Creating a new SqlSession | Committing JDBC Connection [HikariProxyConnection@2071324061 wrapping org.postgresql.jdbc.PgConnection@43f0b44a],20.045336412618305,LOW
86911,1.2696890941745536,1,LOW,0.06666666666666667,0,0,0,1,33,Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@7cafb273] | Creating a new SqlSession | Creating a new SqlSession,20.045336412618305,LOW
86907,1.2617682430049986,1,LOW,0.06666666666666667,0,0,0,1,34,doFilterInternal :::: null // null | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@d270096] was not registered for synchronization because synchronization is not active | ==> Parameters:,19.92652364507498,INFO
86906,1.2617682430049986,1,LOW,0.13333333333333333,0,0,0,2,35,doFilterInternal :::: null // null | doFilterInternal :::: null // null | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@d270096] was not registered for synchronization because synchronization is not active,19.92652364507498,INFO
86901,1.066542061150141,1,LOW,0.2,0,0,0,3,36,Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@3f959389] | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@ba3b63f] | ,16.998130917252116,INFO
28793,1.495659802972621,1,LOW,0.3333333333333333,0,0,0,5,37,Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef | Converted value on extraction: 305 -> kr.re.bbp.code.CodeValue@c7ed | Converted value on extraction: 302 -> kr.re.bbp.code.CodeValue@c7ea,23.434897044589313,LOW
28789,1.6267275795078895,1,LOW,0.26666666666666666,0,0,0,4,38,Converted value on extraction: 311 -> kr.re.bbp.code.CodeValue@c808 | Converted value on extraction: 304 -> kr.re.bbp.code.CodeValue@c7ec | Converted value on extraction: 313 -> kr.re.bbp.code.CodeValue@c80a,25.400913692618342,LOW
28791,1.6089222215182446,1,LOW,0.26666666666666666,0,0,0,4,39,Converted value on extraction: 313 -> kr.re.bbp.code.CodeValue@c80a | Converted value on extraction: 309 -> kr.re.bbp.code.CodeValue@c7f1 | Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef,25.13383332277367,LOW
28790,1.6089222215182446,1,LOW,0.26666666666666666,0,0,0,4,40,Converted value on extraction: 304 -> kr.re.bbp.code.CodeValue@c7ec | Converted value on extraction: 313 -> kr.re.bbp.code.CodeValue@c80a | Converted value on extraction: 309 -> kr.re.bbp.code.CodeValue@c7f1,25.13383332277367,LOW
28483,1.6267275795078895,1,LOW,0.4,0,0,0,6,41,Converted value on extraction: 303 -> kr.re.bbp.code.CodeValue@c7eb | Converted value on extraction: 314 -> kr.re.bbp.code.CodeValue@c80b | Converted value on extraction: 301 -> kr.re.bbp.code.CodeValue@c7e9,25.400913692618342,LOW
28484,1.6267275795078895,1,LOW,0.4,0,0,0,6,42,Converted value on extraction: 314 -> kr.re.bbp.code.CodeValue@c80b | Converted value on extraction: 301 -> kr.re.bbp.code.CodeValue@c7e9 | Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef,25.400913692618342,LOW
28485,1.6267275795078895,1,LOW,0.4666666666666667,0,0,0,7,43,Converted value on extraction: 301 -> kr.re.bbp.code.CodeValue@c7e9 | Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef | Converted value on extraction: 306 -> kr.re.bbp.code.CodeValue@c7ee,25.400913692618342,LOW
28486,1.6267275795078895,1,LOW,0.4,0,0,0,6,44,Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef | Converted value on extraction: 306 -> kr.re.bbp.code.CodeValue@c7ee | Converted value on extraction: 317 -> kr.re.bbp.code.CodeValue@c80e,25.400913692618342,LOW
28487,1.6267275795078895,1,LOW,0.3333333333333333,0,0,0,5,45,Converted value on extraction: 306 -> kr.re.bbp.code.CodeValue@c7ee | Converted value on extraction: 317 -> kr.re.bbp.code.CodeValue@c80e | Converted value on extraction: 305 -> kr.re.bbp.code.CodeValue@c7ed,25.400913692618342,LOW
28488,1.5134651609622658,1,LOW,0.3333333333333333,0,0,0,5,46,Converted value on extraction: 317 -> kr.re.bbp.code.CodeValue@c80e | Converted value on extraction: 305 -> kr.re.bbp.code.CodeValue@c7ed | Converted value on extraction: 304 -> kr.re.bbp.code.CodeValue@c7ec,23.701977414433987,LOW
28489,1.4002027424166419,1,LOW,0.3333333333333333,0,0,0,5,47,Converted value on extraction: 305 -> kr.re.bbp.code.CodeValue@c7ed | Converted value on extraction: 304 -> kr.re.bbp.code.CodeValue@c7ec | Converted value on extraction: 302 -> kr.re.bbp.code.CodeValue@c7ea,22.003041136249628,LOW
28490,1.2869403238710182,1,LOW,0.3333333333333333,0,0,0,5,48,Converted value on extraction: 304 -> kr.re.bbp.code.CodeValue@c7ec | Converted value on extraction: 302 -> kr.re.bbp.code.CodeValue@c7ea | Converted value on extraction: 316 -> kr.re.bbp.code.CodeValue@c80d,20.304104858065273,LOW
28491,1.1736779053253945,1,LOW,0.3333333333333333,0,0,0,5,49,Converted value on extraction: 302 -> kr.re.bbp.code.CodeValue@c7ea | Converted value on extraction: 316 -> kr.re.bbp.code.CodeValue@c80d | Converted value on extraction: 310 -> kr.re.bbp.code.CodeValue@c807,18.605168579880917,INFO
28492,1.0604154867797706,1,LOW,0.26666666666666666,0,0,0,4,50,Converted value on extraction: 316 -> kr.re.bbp.code.CodeValue@c80d | Converted value on extraction: 310 -> kr.re.bbp.code.CodeValue@c807 | Converted value on extraction: 303 -> kr.re.bbp.code.CodeValue@c7eb,16.90623230169656,INFO
86947,1.016113609556257,1,LOW,0.06666666666666667,0,0,0,1,51,doFilterInternal :::: null // null | JDBC Connection [HikariProxyConnection@776073584 wrapping org.postgresql.jdbc.PgConnection@75000c6f] will not be managed by Spring | JDBC Connection [HikariProxyConnection@1012404645 wrapping org.postgresql.jdbc.PgConnection@75000c6f] will not be managed by Spring,16.241704143343856,INFO
86946,1.016113609556257,1,LOW,0.06666666666666667,0,0,0,1,52, | doFilterInternal :::: null // null | JDBC Connection [HikariProxyConnection@776073584 wrapping org.postgresql.jdbc.PgConnection@75000c6f] will not be managed by Spring,16.241704143343856,INFO
86939,1.190587042983455,1,LOW,0.2,0,0,0,3,53,JDBC Connection [HikariProxyConnection@1208219579 wrapping org.postgresql.jdbc.PgConnection@96247c0] will not be managed by Spring | Got delta update with apps hashcode UP_7_ | Committing JDBC Connection [HikariProxyConnection@983853301 wrapping org.postgresql.jdbc.PgConnection@43f0b44a],18.858805644751826,INFO
86938,1.190587042983455,1,LOW,0.2,0,0,0,3,54,Committing JDBC Connection [HikariProxyConnection@1948280943 wrapping org.postgresql.jdbc.PgConnection@43f0b44a] | JDBC Connection [HikariProxyConnection@1208219579 wrapping org.postgresql.jdbc.PgConnection@96247c0] will not be managed by Spring | Got delta update with apps hashcode UP_7_,18.858805644751826,INFO
86937,1.190587042983455,1,LOW,0.2,0,0,0,3,55,"==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?) | Committing JDBC Connection [HikariProxyConnection@1948280943 wrapping org.postgresql.jdbc.PgConnection@43f0b44a] | JDBC Connection [HikariProxyConnection@1208219579 wrapping org.postgresql.jdbc.PgConnection@96247c0] will not be managed by Spring",18.858805644751826,INFO
86936,1.190587042983455,1,LOW,0.2,0,0,0,3,56,"Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@13d52d47] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?) | Committing JDBC Connection [HikariProxyConnection@1948280943 wrapping org.postgresql.jdbc.PgConnection@43f0b44a]",18.858805644751826,INFO
86935,1.593595175212404,1,LOW,0.2,0,0,0,3,57,"JDBC Connection [HikariProxyConnection@1219603901 wrapping org.postgresql.jdbc.PgConnection@96247c0] will not be managed by Spring | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@13d52d47] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?)",24.90392762818606,LOW
86934,1.190587042983455,1,LOW,0.2,0,0,0,3,58,==>  Preparing: SELECT * FROM stdm.fn_row_std_word_srch(?) | JDBC Connection [HikariProxyConnection@1219603901 wrapping org.postgresql.jdbc.PgConnection@96247c0] will not be managed by Spring | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@13d52d47],18.858805644751826,INFO
86924,1.1681024703100749,1,LOW,0.13333333333333333,0,0,0,2,59,"Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@343d8001] | 🛰️ Accept-Language: en | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?)",18.521537054651123,INFO
86923,1.1681024703100749,1,LOW,0.13333333333333333,0,0,0,2,60,==> Parameters: | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@343d8001] | 🛰️ Accept-Language: en,18.521537054651123,INFO
28783,1.0604154867797706,1,LOW,0.13333333333333333,0,0,0,2,61,extracted value ([mng_art12_2_] : [VARCHAR]) - [null] | extracted value ([col_2_0_] : [VARCHAR]) - [null] | ,16.90623230169656,INFO
28784,1.1736779053253945,1,LOW,0.2,0,0,0,3,62,"extracted value ([col_2_0_] : [VARCHAR]) - [null] |  | [channel=0x3086d48a, /192.168.0.54:54904 -> 192.168.0.54/192.168.0.54:6379, epid=0x1] write() writeAndFlush command AsyncCommand [type=PTTL, output=IntegerOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command]",18.605168579880917,INFO
28785,1.2869403238710182,1,LOW,0.2,0,0,0,3,63," | [channel=0x3086d48a, /192.168.0.54:54904 -> 192.168.0.54/192.168.0.54:6379, epid=0x1] write() writeAndFlush command AsyncCommand [type=PTTL, output=IntegerOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | [channel=0x3086d48a, /192.168.0.54:54904 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] Received: 11 bytes, 1 commands in the stack",20.304104858065273,LOW
