sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,sample_messages,risk_score,risk_level,log_count,log_levels
60197,1.240905512046461,0,INFO,0.0,0,0,0,0,602,Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275,49.63622048185844,MEDIUM,15,"TRACE, DEBUG"
60196,1.3429237020110947,0,INFO,0.0,0,0,0,0,603,Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275,53.716948080443785,MEDIUM,15,"TRACE, DEBUG"
76254,1.2377449980801656,0,INFO,0.0,0,0,0,0,643,Converted value on extraction: null -> null | Converted value on extraction: null -> null | Converted value on extraction: null -> null,49.50979992320662,MEDIUM,15,"TRACE, DEBUG"
68127,1.0291465440853498,0,INFO,0.0,0,0,0,0,644," | Completed cache refresh task for discovery. All Apps hash code is Local region apps hashcode: UP_7_, is fetching remote regions? false | Got delta update with apps hashcode UP_7_",41.16586176341399,MEDIUM,15,"TRACE, DEBUG"
76255,1.0929184029952412,0,INFO,0.0,0,0,0,0,654,Converted value on extraction: null -> null | Converted value on extraction: null -> null | Converted value on extraction: null -> null,43.71673611980965,MEDIUM,15,"TRACE, DEBUG"
76253,1.38257159316509,0,INFO,0.0,0,0,0,0,655,Converted value on extraction: null -> null | Converted value on extraction: null -> null | Converted value on extraction: null -> null,55.3028637266036,MEDIUM,15,"TRACE, DEBUG"
76850,1.38257159316509,0,INFO,0.0,0,0,0,0,673,Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: null -> null | Converted value on extraction: null -> null,55.3028637266036,MEDIUM,15,DEBUG
76851,1.2377449980801656,0,INFO,0.0,0,0,0,0,674,Converted value on extraction: null -> null | Converted value on extraction: null -> null | Converted value on extraction: null -> null,49.50979992320662,MEDIUM,15,DEBUG
76852,1.2377449980801656,0,INFO,0.0,0,0,0,0,675,Converted value on extraction: null -> null | Converted value on extraction: null -> null | Converted value on extraction: null -> null,49.50979992320662,MEDIUM,15,DEBUG
76853,1.0929184029952412,0,INFO,0.0,0,0,0,0,676,Converted value on extraction: null -> null | Converted value on extraction: null -> null | Converted value on extraction: L   -> kr.re.bbp.code.CodeValue@2c1,43.71673611980965,MEDIUM,15,DEBUG
76857,1.0604154867797706,0,INFO,0.0,0,0,0,0,677,Converted value on extraction: null -> null | Converted value on extraction: null -> null | Converted value on extraction: null -> null,42.41661947119083,MEDIUM,15,DEBUG
76858,1.1736779053253945,0,INFO,0.0,0,0,0,0,678,Converted value on extraction: null -> null | Converted value on extraction: null -> null | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8,46.94711621301578,MEDIUM,15,DEBUG
76859,1.2869403238710182,0,INFO,0.0,0,0,0,0,679,Converted value on extraction: null -> null | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: null -> null,51.47761295484073,MEDIUM,15,DEBUG
76860,1.4002027424166419,0,INFO,0.0,0,0,0,0,680,Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: null -> null | Converted value on extraction: null -> null,56.00810969666568,MEDIUM,15,DEBUG
76861,1.4002027424166419,0,INFO,0.0,0,0,0,0,681,Converted value on extraction: null -> null | Converted value on extraction: null -> null | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8,56.00810969666568,MEDIUM,15,DEBUG
76864,1.495659802972621,0,INFO,0.0,0,0,0,0,684,Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8,59.826392118904835,MEDIUM,15,"TRACE, DEBUG"
76865,1.495659802972621,0,INFO,0.0,0,0,0,0,685,Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8,59.826392118904835,MEDIUM,15,"TRACE, DEBUG"
76866,1.382397384426997,0,INFO,0.0,0,0,0,0,686,Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8,55.29589537707988,MEDIUM,15,"TRACE, DEBUG"
76867,1.2691349658813733,0,INFO,0.0,0,0,0,0,687,Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8,50.76539863525493,MEDIUM,15,"TRACE, DEBUG"
76868,1.1558725473357496,0,INFO,0.0,0,0,0,0,688,Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8,46.234901893429985,MEDIUM,15,"TRACE, DEBUG"
76869,1.0426101287901257,0,INFO,0.0,0,0,0,0,689,Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@2b8,41.70440515160503,MEDIUM,15,"TRACE, DEBUG"
76846,1.0929184029952412,0,INFO,0.0,0,0,0,0,691,"✅ 코드 변환 완료 - groupCd: SYS_CD, value: manager, label: 통합관리 포털, labelTrans: Integrated Management Portal | [channel=0x2c773d34, /192.168.0.54:48926 -> 192.168.0.54/192.168.0.54:6379, epid=0x1] write() done | [channel=0x2c773d34, /192.168.0.54:48926 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] Received: 1068 bytes, 1 commands in the stack",43.71673611980965,MEDIUM,15,DEBUG
76907,1.2691349658813733,0,INFO,0.0,0,0,0,0,698,Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222 | Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222 | Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222,50.76539863525493,MEDIUM,15,"TRACE, DEBUG"
76906,1.382397384426997,0,INFO,0.0,0,0,0,0,709,Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222 | Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222 | Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222,55.29589537707988,MEDIUM,15,"TRACE, DEBUG"
76908,1.1558725473357496,0,INFO,0.0,0,0,0,0,720,Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222 | Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222 | Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222,46.234901893429985,MEDIUM,15,"TRACE, DEBUG"
76909,1.0426101287901257,0,INFO,0.0,0,0,0,0,721,Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222 | Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222 | Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222,41.70440515160503,MEDIUM,15,"TRACE, DEBUG"
76905,1.495659802972621,0,INFO,0.0,0,0,0,0,736,Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222 | Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222 | Converted value on extraction: manager -> kr.re.bbp.code.CodeValue@31c91222,59.826392118904835,MEDIUM,15,"TRACE, DEBUG"
76146,1.2619608266471076,0,INFO,0.0,0,0,0,0,742,Could not find matching scoped JavaTypeDescriptor for requested Java class [java.lang.String]; falling back to static registry | Could not find matching scoped JavaTypeDescriptor for requested Java class [kr.re.bbp.api.converter.LocalDateConverter]; falling back to static registry | Could not find matching scoped JavaTypeDescriptor for requested Java class [java.lang.String]; falling back to static registry,50.4784330658843,MEDIUM,15,"TRACE, DEBUG"
76145,1.2619608266471076,0,INFO,0.0,0,0,0,0,743,Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@3f1ddac2 | Could not find matching scoped JavaTypeDescriptor for requested Java class [java.lang.String]; falling back to static registry | Could not find matching scoped JavaTypeDescriptor for requested Java class [kr.re.bbp.api.converter.LocalDateConverter]; falling back to static registry,50.4784330658843,MEDIUM,15,"TRACE, DEBUG"
76144,1.2619608266471076,0,INFO,0.0,0,0,0,0,744,Adding type registration integer -> org.hibernate.type.IntegerType@62628e78 | Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@3f1ddac2 | Could not find matching scoped JavaTypeDescriptor for requested Java class [java.lang.String]; falling back to static registry,50.4784330658843,MEDIUM,15,"TRACE, DEBUG"
76143,1.2619608266471076,0,INFO,0.0,0,0,0,0,745,Enabling autowire by type for MapperFactoryBean with name 'qnaMapper'. | Adding type registration integer -> org.hibernate.type.IntegerType@62628e78 | Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@3f1ddac2,50.4784330658843,MEDIUM,15,"TRACE, DEBUG"
60195,1.4449418919757282,0,INFO,0.0,0,0,0,0,752,Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275,57.797675679029126,MEDIUM,15,"TRACE, DEBUG"
60194,1.4515030213843831,0,INFO,0.0,0,0,0,0,753,Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275,58.060120855375324,MEDIUM,15,"TRACE, DEBUG"
58852,1.4506828886486602,0,INFO,0.0,0,0,0,0,765,Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@101f8 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275,58.02731554594641,MEDIUM,15,"TRACE, DEBUG"
58853,1.3374204701030366,0,INFO,0.0,0,0,0,0,766,Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@101f8,53.49681880412146,MEDIUM,15,"TRACE, DEBUG"
58854,1.235402280138403,0,INFO,0.0,0,0,0,0,767,Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@101f8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@101f8,49.41609120553612,MEDIUM,15,"TRACE, DEBUG"
58855,1.1333840901737693,0,INFO,0.0,0,0,0,0,768,Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@101f8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@101f8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@101f8,45.33536360695077,MEDIUM,15,"TRACE, DEBUG"
58856,1.0201216716281454,0,INFO,0.0,0,0,0,0,769,Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@101f8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@101f8 | Converted value on extraction: C   -> kr.re.bbp.code.CodeValue@101f8,40.80486686512582,MEDIUM,15,"TRACE, DEBUG"
59346,1.145448451490482,0,INFO,0.0,0,0,0,0,794,Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275,45.81793805961928,MEDIUM,15,"TRACE, DEBUG"
59339,1.4580641507930379,0,INFO,0.0,0,0,0,0,795,Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275,58.322566031721514,MEDIUM,15,DEBUG
59340,1.4580641507930379,0,INFO,0.0,0,0,0,0,796,Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275,58.322566031721514,MEDIUM,15,DEBUG
59341,1.4515030213843831,0,INFO,0.0,0,0,0,0,797,Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275 | Converted value on extraction: null -> kr.re.bbp.code.CodeValue@275,58.060120855375324,MEDIUM,15,"TRACE, DEBUG"
