sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
47035,1.6823524486551662,1,LOW,0.2,0,0,0,2,193
47037,2.3159611658259878,1,LOW,0.1,0,0,0,1,194
47252,1.2918968541707783,1,LOW,0.1,0,0,0,1,195
36224,1.2918968541707783,1,LOW,0.1,0,0,0,1,196
47036,2.3159611658259878,1,LOW,0.1,0,0,0,1,197
36226,1.2918968541707783,1,LOW,0.1,0,0,0,1,198
36227,1.2918968541707783,1,LOW,0.1,0,0,0,1,199
36228,1.2918968541707783,1,LOW,0.1,0,0,0,1,200
36229,1.2918968541707783,1,LOW,0.1,0,0,0,1,201
47250,1.2918968541707783,1,LOW,0.1,0,0,0,1,202
47251,1.2918968541707783,1,LOW,0.1,0,0,0,1,203
45741,1.2918968541707783,1,LOW,0.2,0,0,0,2,204
37500,1.9301987273769863,0,INFO,0.0,0,0,0,0,205
37497,2.1552798580896764,0,INFO,0.0,0,0,0,0,206
37498,1.9301987273769863,0,INFO,0.0,0,0,0,0,207
37499,1.9301987273769863,0,INFO,0.0,0,0,0,0,208
37380,1.9301987273769863,0,INFO,0.0,0,0,0,0,209
37381,2.199426894122706,0,INFO,0.0,0,0,0,0,210
37100,1.6609705606312668,0,INFO,0.0,0,0,0,0,211
37379,1.9743457634100159,0,INFO,0.0,0,0,0,0,212
37378,1.9743457634100159,0,INFO,0.0,0,0,0,0,213
37377,2.199426894122706,0,INFO,0.0,0,0,0,0,214
37376,2.1552798580896764,0,INFO,0.0,0,0,0,0,215
37375,1.9301987273769863,0,INFO,0.0,0,0,0,0,216
37374,1.8860516913439571,0,INFO,0.0,0,0,0,0,217
37496,2.1552798580896764,0,INFO,0.0,0,0,0,0,218
37383,2.243573930155735,0,INFO,0.0,0,0,0,0,219
37382,2.199426894122706,0,INFO,0.0,0,0,0,0,220
37384,2.2877209661887647,0,INFO,0.0,0,0,0,0,221
37385,2.243573930155735,0,INFO,0.0,0,0,0,0,222
37101,1.6168235245982376,0,INFO,0.0,0,0,0,0,223
37372,1.4358894299185774,0,INFO,0.0,0,0,0,0,224
37102,1.6609705606312668,0,INFO,0.0,0,0,0,0,225
