sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,risk_score,risk_level
87281,1.208457751723375,1,LOW,0.13333333333333333,0,0,0,2,21,65.42288758616874,HIGH
87280,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,22,69.50477716176654,HIGH
87279,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,23,69.50477716176654,HIGH
87371,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,24,77.20934353917991,HIGH
87376,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,25,88.85353025637578,CRITICAL
87373,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,26,77.20934353917991,HIGH
87374,1.6770706051275155,1,LOW,0.06666666666666667,0,0,0,1,27,88.85353025637578,CRITICAL
87412,1.1177503022547166,1,LOW,0.13333333333333333,0,0,0,2,28,60.887515112735834,HIGH
87410,1.190587042983455,1,LOW,0.2,0,0,0,3,29,64.52935214917275,HIGH
87409,1.190587042983455,1,LOW,0.13333333333333333,0,0,0,2,30,64.52935214917275,HIGH
87408,1.190587042983455,1,LOW,0.13333333333333333,0,0,0,2,31,64.52935214917275,HIGH
87407,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,32,84.6797587606202,CRITICAL
87406,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,33,84.6797587606202,CRITICAL
87405,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,34,84.6797587606202,CRITICAL
87404,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,35,84.6797587606202,CRITICAL
87403,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,36,84.6797587606202,CRITICAL
87402,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,37,84.6797587606202,CRITICAL
87401,1.190587042983455,1,LOW,0.13333333333333333,0,0,0,2,38,64.52935214917275,HIGH
87400,1.190587042983455,1,LOW,0.06666666666666667,0,0,0,1,39,64.52935214917275,HIGH
87399,1.190587042983455,1,LOW,0.06666666666666667,0,0,0,1,40,64.52935214917275,HIGH
87276,1.2900955432353307,1,LOW,0.13333333333333333,0,0,0,2,41,69.50477716176654,HIGH
87375,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,42,88.85353025637578,CRITICAL
87278,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,43,69.50477716176654,HIGH
87275,1.2900955432353307,1,LOW,0.06666666666666667,0,0,0,1,44,69.50477716176654,HIGH
91294,1.1268199602114188,1,LOW,0.3333333333333333,0,0,0,5,45,61.34099801057094,HIGH
87046,1.09863629215234,1,LOW,0.06666666666666667,0,0,0,1,46,59.931814607617,MEDIUM
68131,1.2512048328489989,1,LOW,0.06666666666666667,0,0,0,1,47,67.56024164244994,HIGH
64395,1.016113609556257,1,LOW,0.06666666666666667,0,0,0,1,48,55.80568047781286,MEDIUM
64394,1.016113609556257,1,LOW,0.06666666666666667,0,0,0,1,49,55.80568047781286,MEDIUM
64393,1.016113609556257,1,LOW,0.06666666666666667,0,0,0,1,50,55.80568047781286,MEDIUM
87050,1.09863629215234,1,LOW,0.06666666666666667,0,0,0,1,51,59.931814607617,MEDIUM
87049,1.09863629215234,1,LOW,0.06666666666666667,0,0,0,1,52,59.931814607617,MEDIUM
87048,1.09863629215234,1,LOW,0.06666666666666667,0,0,0,1,53,59.931814607617,MEDIUM
87047,1.09863629215234,1,LOW,0.06666666666666667,0,0,0,1,54,59.931814607617,MEDIUM
87028,1.2489973439001743,1,LOW,0.4,0,0,0,6,55,67.44986719500872,HIGH
87253,1.1801304514930424,1,LOW,0.13333333333333333,0,0,0,2,56,64.00652257465212,HIGH
87027,1.6770706051275155,1,LOW,0.3333333333333333,0,0,0,5,57,88.85353025637578,CRITICAL
87026,1.6770706051275155,1,LOW,0.26666666666666666,0,0,0,4,58,88.85353025637578,CRITICAL
87025,1.6770706051275155,1,LOW,0.2,0,0,0,3,59,88.85353025637578,CRITICAL
87024,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,60,88.85353025637578,CRITICAL
87023,1.6770706051275155,1,LOW,0.06666666666666667,0,0,0,1,61,88.85353025637578,CRITICAL
87022,1.6770706051275155,1,LOW,0.06666666666666667,0,0,0,1,62,88.85353025637578,CRITICAL
87021,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,63,88.85353025637578,CRITICAL
87020,2.0417800964669612,1,LOW,0.06666666666666667,0,0,0,1,64,107.08900482334806,CRITICAL
68132,1.1401756884671743,1,LOW,0.06666666666666667,0,0,0,1,65,62.00878442335872,HIGH
87254,1.1801304514930424,1,LOW,0.13333333333333333,0,0,0,2,66,64.00652257465212,HIGH
87274,1.2900955432353307,1,LOW,0.06666666666666667,0,0,0,1,67,69.50477716176654,HIGH
68140,1.16150006804629,1,LOW,0.06666666666666667,0,0,0,1,68,63.07500340231449,HIGH
87273,1.5124071162432104,1,LOW,0.06666666666666667,0,0,0,1,69,80.62035581216053,CRITICAL
87272,1.5124071162432104,1,LOW,0.06666666666666667,0,0,0,1,70,80.62035581216053,CRITICAL
87271,1.5124071162432104,1,LOW,0.06666666666666667,0,0,0,1,71,80.62035581216053,CRITICAL
87270,1.5124071162432104,1,LOW,0.06666666666666667,0,0,0,1,72,80.62035581216053,CRITICAL
87269,1.071043335018982,1,LOW,0.06666666666666667,0,0,0,1,73,58.552166750949105,MEDIUM
87268,1.071043335018982,1,LOW,0.06666666666666667,0,0,0,1,74,58.552166750949105,MEDIUM
87267,1.071043335018982,1,LOW,0.06666666666666667,0,0,0,1,75,58.552166750949105,MEDIUM
68141,1.1401756884671739,1,LOW,0.06666666666666667,0,0,0,1,76,62.00878442335869,HIGH
68139,1.2034768521287622,1,LOW,0.06666666666666667,0,0,0,1,77,65.17384260643811,HIGH
87255,1.1801304514930424,1,LOW,0.13333333333333333,0,0,0,2,78,64.00652257465212,HIGH
68138,1.2034768521287622,1,LOW,0.06666666666666667,0,0,0,1,79,65.17384260643811,HIGH
68137,1.2034768521287622,1,LOW,0.06666666666666667,0,0,0,1,80,65.17384260643811,HIGH
68136,1.2034768521287622,1,LOW,0.06666666666666667,0,0,0,1,81,65.17384260643811,HIGH
68135,1.0291465440853498,1,LOW,0.06666666666666667,0,0,0,1,82,56.457327204267486,MEDIUM
68134,1.0291465440853498,1,LOW,0.06666666666666667,0,0,0,1,83,56.457327204267486,MEDIUM
68133,1.0291465440853498,1,LOW,0.06666666666666667,0,0,0,1,84,56.457327204267486,MEDIUM
87257,1.1801304514930424,1,LOW,0.06666666666666667,0,0,0,1,85,64.00652257465212,HIGH
87256,1.1801304514930424,1,LOW,0.06666666666666667,0,0,0,1,86,64.00652257465212,HIGH
87413,1.1177503022547166,1,LOW,0.13333333333333333,0,0,0,2,87,60.887515112735834,HIGH
87453,1.0413384109819168,1,LOW,0.06666666666666667,0,0,0,1,88,57.06692054909584,MEDIUM
87454,1.020014031402801,1,LOW,0.06666666666666667,0,0,0,1,89,56.00070157014005,MEDIUM
90949,1.2711971984591794,1,LOW,0.06666666666666667,0,0,0,1,90,68.55985992295896,HIGH
91016,1.4405631517362387,1,LOW,0.06666666666666667,0,0,0,1,91,77.02815758681194,HIGH
91015,1.1177503022547166,1,LOW,0.06666666666666667,0,0,0,1,92,60.887515112735834,HIGH
90956,1.2711971984591794,1,LOW,0.06666666666666667,0,0,0,1,93,68.55985992295896,HIGH
90955,1.2711971984591794,1,LOW,0.13333333333333333,0,0,0,2,94,68.55985992295896,HIGH
90954,1.0665420611501408,1,LOW,0.13333333333333333,0,0,0,2,95,58.32710305750704,MEDIUM
90952,1.2711971984591794,1,LOW,0.13333333333333333,0,0,0,2,96,68.55985992295896,HIGH
90951,1.2711971984591794,1,LOW,0.13333333333333333,0,0,0,2,97,68.55985992295896,HIGH
90950,1.2711971984591794,1,LOW,0.06666666666666667,0,0,0,1,98,68.55985992295896,HIGH
90948,1.2711971984591794,1,LOW,0.06666666666666667,0,0,0,1,99,68.55985992295896,HIGH
91018,1.4405631517362387,1,LOW,0.06666666666666667,0,0,0,1,100,77.02815758681194,HIGH
90947,1.2711971984591794,1,LOW,0.06666666666666667,0,0,0,1,101,68.55985992295896,HIGH
90872,1.1935945423881271,1,LOW,0.13333333333333333,0,0,0,2,102,64.67972711940635,HIGH
90871,1.1935945423881271,1,LOW,0.13333333333333333,0,0,0,2,103,64.67972711940635,HIGH
90870,1.1935945423881271,1,LOW,0.13333333333333333,0,0,0,2,104,64.67972711940635,HIGH
90869,1.1935945423881271,1,LOW,0.13333333333333333,0,0,0,2,105,64.67972711940635,HIGH
90868,1.1935945423881271,1,LOW,0.06666666666666667,0,0,0,1,106,64.67972711940635,HIGH
90867,1.1935945423881271,1,LOW,0.06666666666666667,0,0,0,1,107,64.67972711940635,HIGH
90866,1.1935945423881271,1,LOW,0.06666666666666667,0,0,0,1,108,64.67972711940635,HIGH
91017,1.4405631517362387,1,LOW,0.06666666666666667,0,0,0,1,109,77.02815758681194,HIGH
91019,1.2120185848073353,1,LOW,0.06666666666666667,0,0,0,1,110,65.60092924036675,HIGH
87455,1.041338410981917,1,LOW,0.06666666666666667,0,0,0,1,111,57.066920549095855,MEDIUM
91145,1.1935945423881271,1,LOW,0.06666666666666667,0,0,0,1,112,64.67972711940635,HIGH
91292,1.1268199602114188,1,LOW,0.26666666666666666,0,0,0,4,113,61.34099801057094,HIGH
91291,1.1268199602114188,1,LOW,0.26666666666666666,0,0,0,4,114,61.34099801057094,HIGH
91290,1.1268199602114188,1,LOW,0.2,0,0,0,3,115,61.34099801057094,HIGH
91289,1.1268199602114188,1,LOW,0.2,0,0,0,3,116,61.34099801057094,HIGH
91288,1.1268199602114188,1,LOW,0.2,0,0,0,3,117,61.34099801057094,HIGH
91287,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,118,61.34099801057094,HIGH
91286,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,119,61.34099801057094,HIGH
91146,1.1935945423881271,1,LOW,0.06666666666666667,0,0,0,1,120,64.67972711940635,HIGH
91144,1.1935945423881271,1,LOW,0.06666666666666667,0,0,0,1,121,64.67972711940635,HIGH
91020,1.2120185848073353,1,LOW,0.06666666666666667,0,0,0,1,122,65.60092924036675,HIGH
91143,1.1935945423881271,1,LOW,0.06666666666666667,0,0,0,1,123,64.67972711940635,HIGH
91142,1.1935945423881271,1,LOW,0.06666666666666667,0,0,0,1,124,64.67972711940635,HIGH
91141,1.1935945423881271,1,LOW,0.06666666666666667,0,0,0,1,125,64.67972711940635,HIGH
91140,1.1935945423881271,1,LOW,0.06666666666666667,0,0,0,1,126,64.67972711940635,HIGH
91029,1.2120185848073353,1,LOW,0.06666666666666667,0,0,0,1,127,65.60092924036675,HIGH
